Title,Rating,Reviews,Discount Price,Original Price,Off
Tecno Spark 30,,,36,39,8
Nokia 105 Classic,4.8,66,3,4,11
Infinix Note 40,4.8,188,48,57,16
Xiaomi Redmi Note 13,4.9,422,42,52,19
Jazz Digit E2 Pro 4G,4.8,132,6,9,35
Infinix Hot 40,4.8,190,34,37,8
AllCall Shine 12 Pro,,,19,20,9
Samsung Galaxy A05s,4.9,86,33,38,13
Infinix Hot 50i,5.0,1,30,32,8
Vivo Y03t,5.0,3,25,27,10
Nokia 125 (2024),5.0,5,5,5,1
Nokia 105 2023,4.8,84,4,4,18
Samsung Galaxy A55 5G,4.8,70,122,139,12
Tecno Spark Go 1,4.9,7,23,25,10
ZTE Nubia Music,5.0,2,23,24,6
Tecno Camon 30S,5.0,3,53,59,10
Calme 4g Premium,4.6,8,9,9,7
Infinix Zero 40 4G,4.7,5,63,69,9
Realme Note 60,4.8,17,23,26,11
GFive 4G Smart,,,6,7,20
Tecno SPARK 30C,5.0,4,29,32,9
Nokia 108 (2024),4.7,6,4,,
Xiaomi Redmi A3x,4.8,101,16,20,20
Jazz Digit Energy 4G,4.8,95,5,7,17
Realme C63,4.8,51,31,36,14
Itel It2165,4.9,13,2,,
Qmobile QSmart Ultra,4.8,22,22,29,23
Nokia 5310 (2020),4.9,19,9,10,8
Nokia 106 2023,4.9,125,4,4,6
VGO TEL Note 23,4.8,329,26,31,16
Sparx Neo 7 Ultra,4.8,168,22,27,17
AllCall Shine 12T,4.5,2,16,18,9
ZTE Nubia V60 Design,4.9,14,26,30,13
Infinix Hot 50 Pro,5.0,3,42,44,6
Tecno SPARK 30 Pro,4.8,11,40,45,11
MeMobile Power Pro,5.0,1,2,3,38
Tecno SPARK 30 Pro,4.8,11,40,45,11
Vivo Y100,4.9,29,50,56,11
Xiaomi Redmi 10A,4.9,245,20,29,32
Sparx Note 12,4.5,2,24,27,12
Dcode Cygnal 2,4.6,15,17,25,31
Sparx Neo X,4.8,69,19,31,40
Itel A50,5.0,3,16,19,15
Honor X6a,4.9,47,24,30,20
Infinix Smart 8 Pro,4.9,90,24,27,11
Xiaomi Poco C75,5.0,2,34,36,6
itel P55 Plus,5.0,2,27,32,17
Xiaomi Redmi A3,4.9,268,19,23,17
Xiaomi Redmi 13C,4.9,745,28,31,9
Sparx Neo 8,,,21,29,27
Samsung Galaxy A15,4.9,234,45,52,14
Xiaomi Redmi 13,4.9,80,34,39,14
ZTE Blade V60 Smart,3.0,1,23,25,8
Sparx Edge 20 Pro,4.9,40,41,52,20
Samsung Galaxy A05,4.9,269,20,24,16
itel Muzik 410 Pro,,,3,4,7
Tecno Camon 30,4.9,129,47,57,18
